3_2_1_xyz,3_2_1_yz,3_2_2fullscan,3_2_2efficient,3_4_1Forward,3_4_1Reverse,3_4_1Connect
9412.45,1686.12,7516.1,353.531,614.149,430.7,19.4887
6322.09,800.178,640.63,527.699,569.231,88.56,85.4224
1059.83,543.775,493.043,252.076,1097.11,104.41,10.9834
2364.38,822.606,21322.8,100.807,117.325,134.96,19.2303
429.481,743.801,294.382,8.95718,285.818,221.11,63.5415
819.436,366.434,274.539,461.188,176.864,98.03,26.0673
2959.95,1816.19,390.493,140.878,457.049,314.38,101.173
610.495,130.306,26870.2,1276.12,650.169,434.28,12.2894
1151.28,899.39,5225.84,388.969,1219.65,56.81,48.0631
756.571,593.193,1213.69,60.6772,2341.78,1222.08,33.3391
,,,,113.699,609.08,12.2134
,,,,2047.99,264.58,14.9004
,,,,939.589,741.93,52.0205
,,,,41.8744,69.8,60.9451
,,,,848.511,1000.44,20.6479
,,,,2759.66,777.9,22.699
,,,,2410.03,1134.01,8.23871
,,,,375.619,170.33,155.438
,,,,229.375,113.48,19.245
,,,,253.37,390.67,81.4736
